SYMBOL,title
BBOX,BBOX: Black Box Limited
BBTC,BBTC: Bombay Burmah Trading Corporation Limited
BBTCL,BBTCL: B&B Triplewall Containers Limited
BCLIND,BCLIND: Bcl Industries Limited
BCONCEPTS,BCONCEPTS: Brand Concepts Limited
BDL,BDL: Bharat Dynamics Limited
BEARDSELL,BEARDSELL: Beardsell Limited
BECTORFOOD,BECTORFOOD: Mrs. Bectors Food Specialities Limited
BEDMUTHA,BEDMUTHA: Bedmutha Industries Limited
BEL,BEL: Bharat Electronics Limited
BEML,BEML: BEML Limited
BEPL,BEPL: Bhansali Engineering Polymers Limited
BERGEPAINT,BERGEPAINT: Berger Paints (I) Limited
BESTAGRO,BESTAGRO: Best Agrolife Limited
BFINVEST,BFINVEST: BF Investment Limited
BFUTILITIE,BFUTILITIE: BF Utilities Limited
BGRENERGY,BGRENERGY: BGR Energy Systems Limited
BHAGCHEM,BHAGCHEM: Bhagiradha Chemicals & Industries Limited
BHAGERIA,BHAGERIA: Bhageria Industries Limited
BHAGYANGR,BHAGYANGR: Bhagyanagar India Limited
BHANDARI,BHANDARI: Bhandari Hosiery Exports Limited
BHARATFORG,BHARATFORG: Bharat Forge Limited
BHARATGEAR,BHARATGEAR: Bharat Gears Limited
BHARATRAS,BHARATRAS: Bharat Rasayan Limited
BHARATWIRE,BHARATWIRE: Bharat Wire Ropes Limited
BHARTIARTL,BHARTIARTL: Bharti Airtel Limited
BHARTIHEXA,BHARTIHEXA: Bharti Hexacom Limited
BHEL,BHEL: Bharat Heavy Electricals Limited
BIGBLOC,BIGBLOC: Bigbloc Construction Limited
BIKAJI,BIKAJI: Bikaji Foods International Limited
BIL,BIL: Bhartiya International Limited
BINANIIND,BINANIIND: Binani Industries Limited
BIOCON,BIOCON: Biocon Limited
BIOFILCHEM,BIOFILCHEM: Biofil Chemicals & Pharmaceuticals Limited
BIRLACABLE,BIRLACABLE: Birla Cable Limited
BIRLACORPN,BIRLACORPN: Birla Corporation Limited
BIRLAMONEY,BIRLAMONEY: Aditya Birla Money Limited
BLAL,BLAL: BEML Land Assets Limited
BLBLIMITED,BLBLIMITED: BLB Limited
BLISSGVS,BLISSGVS: Bliss GVS Pharma Limited
BLKASHYAP,BLKASHYAP: B. L. Kashyap and Sons Limited
BLS,BLS: BLS International Services Limited
BLSE,BLSE: BLS E-Services Limited
BLUECHIP,BLUECHIP: Blue Chip India Limited
BLUEDART,BLUEDART: Blue Dart Express Limited
BLUEJET,BLUEJET: Blue Jet Healthcare Limited
BLUESTARCO,BLUESTARCO: Blue Star Limited
BODALCHEM,BODALCHEM: Bodal Chemicals Limited
BOMDYEING,BOMDYEING: Bombay Dyeing & Mfg Company Limited
BOROLTD,BOROLTD: Borosil Limited
BORORENEW,BORORENEW: BOROSIL RENEWABLES LIMITED
BOROSCI,BOROSCI: Borosil Scientific Limited
BOSCHLTD,BOSCHLTD: Bosch Limited
BPCL,BPCL: Bharat Petroleum Corporation Limited
BPL,BPL: BPL Limited
BRIGADE,BRIGADE: Brigade Enterprises Limited
BRITANNIA,BRITANNIA: Britannia Industries Limited
BRNL,BRNL: Bharat Road Network Limited
BROOKS,BROOKS: Brooks Laboratories Limited
BSE,BSE: BSE Limited
BSHSL,BSHSL: Bombay Super Hybrid Seeds Limited
BSL,BSL: BSL Limited
BSOFT,BSOFT: BIRLASOFT LIMITED
BTML,BTML: Bodhi Tree Multimedia Limited
